"Table 2.1: Administrative details of MWS-002-1","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS  002 1  ha","X  Area belongs to MWS  002 1","Remarks"
"1","1038","Bopitiya Nagaraya*","143.1","40.7","28.5%","Included in MWS-008-2"
"2","1040","Gonangoda","398.2","393.4","98.8%",
"3","1043","Greatweliya","117.9","63.8","54.1%",
"4","1046","Kandegama3","45.2","37.8","83.6%",
"5","1041","Karagaskada North","64.7","54.8","84.7%",
"6","1042","Karagaskada South","52.5","52.5","100.0%",
"7","1028","Kotagepitiya*","88.9","7.7","8.7%","Included in MWS-008-2"
"8","1037","Medakekila","44.5","44.5","100.0%",
"9","1045","Pattiyagama Gabadagama North","172.6","172.6","100.0%",
"10","1044","Pattiyagama Gabadagama South","385.6","384.0","99.6%",
"11","1033","Pattiyagama Pallegama*","128.4","31.0","24.1%","Included in MWS-008-2"
"112","1039","Pattiyagama Udagama","129.9","129.9","100.0%",
"13","1133","Pitawala3*","773.7","191.4","24.7%","Included in MWS in Doluwa"
"14","1181","Pupuressa*","1038.5","8.8","0.8%","Included in MWS in Doluwa"
"15","979","Suduwella*","391.7","5.4","1.4%","Included in MWS-001"
"16","1047","Wadiyagoda","50.2","46.8","93.3%",
"17","1036","Wanahapuwa1*","103.3","15.3","14.8%","Included in MWS-008-2"
"18","1034","Wetakepotha","63.5","54.9","86.5%",
