Tank name,N,E,Tentative Estimate (LKR)
Kandethenna Wewa,7.17226,80.71371,"1,967,000"
Gurugal Oya Reservoir,7.1578,80.72799,"3,615,000"
Great Valley Wewa,7.184183,80.6718,"298,000"
Karagaskada North Wewa,7.17819,80.69721,"720,000"
