No.,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,1034,Wetakepotha,Landsliding - Peelikara (Upper) (70°),7.175464,80.712225,NBRO has visited,"Transferring occupants to other lands, avoiding construction of heavy structures, trees etc., Monitoring continuously"
2,1037,Medakekila,1. Soil sloughing/sliding - Araththawala Janapadaya (85°),7.172908,80.708957,Needs NBRO concern,Establishing a retaining wall (5 m x 3 m)
3,1037,Medakekila,2. Soil sloughing/sliding - Araththawala Janapadaya (90°),7.172452,80.711725,Needs NBRO concern,Establishing a retaining wall (7 m x 1.5 m)
5,1040,Gonangoda,1. Water stagnation - Dodamgahamulla Mawatha,7.155333,80.708605,N/A,"Facilitating drainage
Building up of a drain (300 m)"
6,1040,Gonangoda,2. Falling stones/boulders - Pattiyagama Waththa,7.165973,80.694543,Needs NBRO concern,"Removal of risky boulders/stones
Awareness on soil conservation "
8,1042,Karagaskada South,1. Landsliding - Muslim Colony Road,7.170969,80.700824,,Facilitating drainage
9,1042,Karagaskada South,2. Flooding to houses - Hajara Road,7.172395,80.7034,,Establishing a drain (300 m)
10,1042,Karagaskada South,3. Sliding the side wall - Riverside Mawatha,7.170953,80.704587,,Establishing a retaining wall (5 m x 5 m)
13,1045,Gabadagama North,1. Soil sloughing - Naranhinna line houses,7.14737,80.713383,Needs NBRO concern,"Facilitating drainage
Soil conservation practices in the adjacent lands"
