"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-002-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR..","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
" ",""," ","4. Soil conservation practices - Gabadagama North (30°) ","1","7.152363","80.718067","20 ha","Lock and spills - 5 ha","400 m-1","2,000,000","Labour and other basic services by the Local community","0.25 Years"
" ",""," ",""," ",""," ","","Stone terracing - 3 ha","2,500 m-1","7,500,000","","0.25 Years"
" "," "," "," "," "," "," "," ","Live fencing/SALT, Planting perennial crops 12 ha","250 m-1","3,000,000","","0.5 Years"
"Sub Total","525,000"," "," ",,,,,,,,,
"10","1046","Kandegama","1. Soil conservation practices (50°) ","1","7.166862","80.715102","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices (45°) ","5","7.16724","80.715045","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","3. Soil conservation practices (40°) ","5","7.168113","80.713338","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,187,500"," "," ",,,,,,,,,
"11","1047","Wadiyagoda","1. Soil conservation practices - Galkandehena (70°) ","4","7.167097","80.718332","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Appallawala Ela (60°) ","4","7.16531","80.721459","3.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","875,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Angurubedda Waththa (45°) ","2","7.16621","80.722015","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","4. Soil conservation practices - Kottawaththa (70°) ","1","7.166565","80.720979","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","5. Soil conservation practices - Wottava Pathana (60°) ","1","7.171686","80.716231","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,125,000"," "," ",,,,,,,,,
"Grand Total","65,862,500"," "," ",,,,,,,,,
