"Table 2.5: GN-wise demographic details of the MWS-002-1","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"1034","Wetakepotha","199","308","520","499"
"1037","Medakekila","168","210","510","475"
"1039","Pattiyagama Udagama","147","148","319","270"
"1040","Gonangoda","689","856","1582","1485"
"1041","Karagaskada North","407","442","786","802"
"1042","Karagaskada South","320","440","951","766"
"1043","Greatweliya","338","402","787","821"
"1044","Pattiyagama Gabadagama South","350","380","593","495"
"1045","Pattiyagama Gabadagama North","296","378","861","810"
"1046","Kandegama","64","87","134","131"
"1047","Wadiyagoda","98","112","173","171"
,"Total","3076","3763","7216","6725"
