"Table 5.37: Causes of forest fires in the MWS-037","","","",""
"Forest Reserve","Rank value of causes of forest fires","NA","NA  1","NA  2"
,"Recklessness","To obtain fresh grass","Malicious entertainment","Burning residues for agricultural activities"
"Pahanthibukanda forest","1","2","3","-"
"Bolagandawela forest","1","-","2","3"
