"Table 5.14: Estimate for rehabilitation of Papolpatha Wewa in Galkadawela GND (518C)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","9,612.00"
"2","Construction of new CO spill","150,000.00"
"3","Construction of new Sluice","300,000.00"
"4","Filling depressions / runners in bund and turfing on D/S slopes of earth fill where necessary","25,000.00"
"5","Miscellaneous","388.00"
,"CIVIL COST","485,000.00"
"6","Contingencies 10%","48,500.00"
,"TOTAL COST","533,500.00"
