"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-037 belongs to Nildandahinna DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","518","Udamadura","1. Construction of a Retaining Wall - Batapala Road","5","7.096697","80.919042","5.0 m long and 3.0 m high","Retaining Wall","588,500","By the Project","0.25 Years"
"Sub Total","588,500",,,,,,,,,,
"2","518B","Udamadura North","No special issues are reported",,,,,,,,
"3","518C","Galkadawela","No special issues are reported",,,,,,,,
"4","521","Bolagandawela","No special issues are reported",,,,,,,,
"5","521B","Ambagahathenna","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","588,500",,
