"Table 2.1: Administrative details of MWS-037","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 037  ha","X  Area belongs to MWS 037","Remarks"
"1","521B","Ambagahathenna","86.4","72.4","83.76%",
"2","518","Udamadura","283.1","189.7","67.02%",
"3","518C","Galkadawela","207.9","207.9","100.00%",
"4","518B","Udamadura North","139.4","135.2","96.98%",
"5","521","Bolagandawela","716.4","714.7","99.76%",
"6","32B","Dikkumbura*","998.1","0.03","0.003%","Included in Kandeketiya DSD"
"7","32A","Mudagamuwa*","1173.0","0.03","0.002%","Included in Kandeketiya DSD"
"8","519","Kalaganwatta*","134.5","0.03","0.02%","Included in MWS-036"
"9","521F","Helagama*","69.2","1.4","1.98%","Included in MWS-039"
"10","518A","Kosgolla*","162.3","71.9","44.29%","Included in MWS-035"
"11","518D","Yatimadura*","425.6","157.4","36.99%","Included in MWS-035"
"112","527C","Kandeyaya*","1217.9","0.1","0.01%","Shared Between MWS-033 and MWS-034-1"
"13","523","Ambanella*","212.2","1.5","0.71%","Included in MWS-035"
"14","521A","Hegasulla*","4849.4","382.7","7.89%","Shared Between MWS-040 and MWS-041"
