"Table 5.51: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"Paddy","Tray","Ambagahathenna-200 - Galkadawela-400  -  Udamadura 300  Udamadura North 200 Bolagandawela 350","1,450","80","116,000.00","50%","58,000.00"
,"Electric fence","Ambagahathenna- 5 - Galkadawela- 10 -  Udamadura 8  Udamadura North 7 Bolagandawela 10","40","36,000.00","1,440,000.00","50%","720,000.00"
"Vegetable","Capsicum","Ambagahathenna- 5 - Galkadawela- 7 -  Udamadura 8  Udamadura North 7 Bolagandawela 6","38","40/perches unit - 20g. 3,000.00","114,000.00","100%","114,000.00"
,"Cabbage","Udamadura-5 Galkadawela-3 Udamadura North- 2 Bolagandawela- 3","13","40/perches unit - 20g. 6,000.00","78,000.00","100%","78,000.00"
,"Green chili","Ambagahathenna- 5 - Galkadawela- 3-  Udamadura 4 Udamadura North 4 Bolagandawela 5","21","40/perches unit - 50g. 1,500.00","31,500.00","100%","31,500.00"
,"Beans","Ambagahathenna-5 Udamadura-5 Udamadura North- 6 Bolagandawela-4","20","40/perches unit - 1500g. 4,500.00","90,000.00","100%","90,000.00"
,"Tomato","Ambagahathenna- 4 - Galkadawela- 3-  Udamadura 4 Udamadura North 4 Bolagandawela 3","18","40/perches unit - 10g. 6,000.00","108,000.00","100%","108,000.00"
"Fruits","Banana","Ambagahathenna- 100 - Galkadawela- 90-  Udamadura 70 Udamadura North 60 Bolagandawela 100","420","120","50,400.00","100%","50,400.00"
,"Avocado","Galkadawela-100","100","200","20,000.00","100%","20,000.00"
,"Mango","Ambagahathenna- 75 - Galkadawela- 80-  Udamadura 70 Udamadura North 100 Bolagandawela 100","425","300","127,500.00","100%","127,500.00"
,"Orange","Galkadawela-100 Udamadura North- 100","200","100","20,000.00","100%","20,000.00"
"Export Crops","Coffee","Ambagahathenna- 700 - Galkadawela- 900-  Udamadura 700 Udamadura North 800 Bolagandawela 400","3,500","30","105,000.00","100%","105,000.00"
,"Pepper","Ambagahathenna- 800 - Galkadawela- 900-  Udamadura 700 Udamadura North 800 Bolagandawela 600","3,800","40","152,000.00","100%","152,000.00"
,"Ginger","Galkadawela-500 Udamadura North- 400","900","18","16,200.00","100%","16,200.00"
"Livestock","No of cow","Galkadawela-2 Udamadura North- 6","8","250,000.00","2,000,000.00","50%","1,000,000.00"
,"No of chicks","Ambagahathenna- 70 - Galkadawela- 80-  Udamadura 70 Udamadura North 60 Bolagandawela 70","330","1,500.00","495,000.00","50%","247,500.00"
,"No of sheds - cow","Galkadawela-2 Udamadura North- 3","5","300,000.00","1,500,000.00","50%","750,000.00"
"Protected Agriculture","Polytunnel","Galkadawela-1 Udamadura North- 1","2","700,000.00","1,400,000.00","50%","700,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Ambagahathenna- 10 - Galkadawela- 10-  Udamadura 7 Udamadura North 10 Bolagandawela 10","47","8,000.00","376,000.00","75%","282,000.00"
,"Black Pepper making machines (Balancing kit)","Galkadawela-1 Udamadura North- 5","6","10,000.00","60,000.00","50%","30,000.00"
,"Curry powder grinding","Galkadawela-1 Udamadura North- 2","3","120,000.00","360,000.00","50%","180,000.00"
"Total Cost",,,,,"8,659,600.00",,"4,880,100.00"
