"Table 5.9: Estimate for rehabilitation of Aliya Eruna Wewa in Udamadura GND (518)","",""
"Item","Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","1,153,440.00"
"2","Filling depressions / runners in bund and turfing on D/S slopes of earth fill where necessary","140,000.00"
"3","Construction of new CO spill","200,000.00"
"4","Miscellaneous","1,560.00"
,"CIVIL COST","1,495,000.00"
,"Contingencies 10%","149,500.00"
,"TOTAL COST","1,644,500.00"
