"Table 5.19: Estimates for Water Source Protection  in MWS-037","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"518B","Bhutawa Water Spring","7.102618","80.912555","An underground water tank is constructed and drinking water is distributed","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518B","Bulathwatta Spring","7.099237","80.918972","Bathing place","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518B","Wewe Pihilla","7.099737","80.918872","Bathing place","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","101,200"
"518B","Lindegedara Wewa","7.101336","80.923201","Located in the middle of the paddy field","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","101,200"
"518B","Bhutawa Water Spring","7.102618","80.912555",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518B","Karakaduwa Spring","7.104176","80.917402","Natural forest","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518B","Paragahalanda Spring","7.104932","80.917402","Natural forest","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","101,200"
"518B","Bulathwatta Spring","7.099237","80.918972",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518B","Wewe Pihilla","7.099737","80.918872",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518B","Lindegedara Wewa","7.101336","80.923201",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Harakolagolla Spring","7.103146","80.924731","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Gal Padi Pela Spring","7.100356","80.925671","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518C","Galkadawala Spring","7.098467","80.93166","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Karandagahayata Spring","7.103266","80.926791","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518C","Pussallanduwa Spring","7.105856","80.93366","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","127,600"
"518C","Elamana Hena Spring","7.108476","80.93362","Water is taken for cultivation, drinking and bathing","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518C","Iththagala hena","7.107496","80.93635","Water is taken for cultivation, drinking and bathing, A water tank is constructed.","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","127,600"
"518C","Badda Arawa Hene linda","7.094437","80.93563","A well has grown wild","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","13,200"
"518C","Kapuwatta Idama Spring","7.097757","80.93159","Water is taken for drinking","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Harakolagolla Spring","7.103146","80.924731",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"518C","Galkadawala Spring","7.098467","80.93166",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Pussallanduwa Spring","7.105856","80.93366",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Elamanahena","7.108476","80.93362",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"518C","Iththagalahena","7.107496","80.93635",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"521B","Polgahawewa Spring","7.114126","80.928551","An underground water tank is constructed and drinking water is distributed","Reparis  with 1:2:4 concretemix(volume batching) Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","100,976"
"521B","Diyalinda Spring","7.112236","80.925381","An underground water tank is constructed and drinking water is distributed","Reparis  with 1:2:4 concretemix(volume batching)Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","230,176"
"521B","Agale Kandura Well","7.118655","80.928081","Open well","Provide covering net over tank 1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProvide a dust bin to collect waste Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","91,600"
"521B","Well Near the Bo tree","7.119195","80.928691","Open well","Provide covering net over tank 1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProvide a dust bin to collect waste Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat 1.5mspacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5m x1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomly mixedseedlingsandplantingat3.5mx3.5mgridinterval","91,600"
"521B","Medawewa Well","7.118565","80.928941","Open well","Provide covering net over tank 1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProvide a dust bin to collect waste Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","81,600"
"521B","Bhutawa Spring","7.106446","80.916882","A small tank is constructed and drinking water is obtained informally using pipes","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide covering net over tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","770,700"
"521B","Diyalinde Agale Kandura","7.112236","80.925381","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"521B","Phundalu Kandura","7.115535","80.93214","Natural forest","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
,,,,"Total",,"3,289,452"
,,,,"total with 10% contingencies",,"3,618,397"
