"Table 5.15: Estimate for rehabilitation of Polgaha Wewa in Bolagandawela GND (521)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","76,896.00"
"2","Construction of new HO type Sluice","250,000.00"
"3","Miscellaneous","3,104.00"
,"CIVIL COST","330,000.00"
"4","Contingencies 10%","33,000.00"
,"TOTAL COST","363,000.00"
