"Table 5.41: Proposed interventions MWS-037","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 04 awareness programmes","Nikathenna,
Udamadura","Refreshments","200","Packs","400","80,000","2025"
,,"Fuel                                                (Rs 3,750/programs)
 - Two visits (for organizing and conducting program)","8","Lump sum","3,750","30,000",
,,"Stationaries (file covers/ Handouts)","4","Lump sum","2,500","12,500",
,,,,,"Sub total","122,500",
,,"Contingency (10%)",,,,"12,250",
,,,,,"Total","134,750",
"Establish 02 forest protection action groups","Nikathenna,
Udamadura","Refreshments","200","Packs","400","80,000","2025"
,,"Fuel (Rs 3,750/program)","4","Field visits","3,750","15,000",
,,"Stationaries","4","Lump sum","2,500","12,500",
,,,,,"Sub Total","107,500",
,,"Contingency (10%)",,,,"10,750",
,,,,,"Total","118,250",
"Erect 08 display boards","Nikathenna,
Udamadura","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","8","Boards","24,250","194,000","2026"
,,"Transportation of boards","8","Truck load","5,000","40,000",
,,"Metal, Sand and Cement mixture for erection of board","8","Lump sum","750","6,000",
,,"Fixing Boards (2 Man days/Board)","16","Man days","2,500","40,000",
,,,,,"Sub Total","280,000",
,,"Contingency (10%)",,,,"28,000",
,,,,,"Total","308,000",
"Reforestation","Nelligashinna Bhutawa (7.102376,
80.918352)","Surveying 
(1.5 Man days/ha)","5","Man days","2,500","12,500",
,,"Seedling production 500 seedling / ha (
12\" x 18\")","1,200","Seedlings","300","360,000",
,,"Transportation of seedlings to the site 
(300 Seedlings/ lorry load)","4","Lorry loads","7,500","30,000",
,,"Transportation of seedlings inside the field (5 Man days / ha)","15","Man days","2,500","37,500",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","225,000",
,,"Holing and planting
 (33 Man days /ha)","99","Man days","2,500","247,500",
,,"Fertilizer","120","Kg","300","36,000",
,,"Fertilizer application 
(9 Man days/ ha)","27","Man days","2,500","67,500",
,,"Vacancy Planting -Seedling cost (20%)","240","Seedlings","300","72,000",
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","21","Man days","2,500","52,500",
,,"Vacancy Planting (10%)- Seedling cost","120","Seedlings","300","36,000",
,,"Vacancy Planting - Holing & Planting 
(4 Man days)","12","Man days","2,500","30,000",
,,"1st years 
3 maintenance, 16 Man days, 3 times/yea","144","Man days","2,500","360,000",
,,"2nd year 
2 maintenance (2 times /year) 10 Man days","60","Man days","2,500","150,000",
,,"3rd year 
2 maintenance (Once only) 10 Man days","30","Man days","2,500","75,000",
,,"4th year
 1 maintenance (Once only) 10 Man days","30","Man days","2,500","75,000",
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000",
,,,,,"Sub Total","1,946,500",
,,"Contingency (10%)",,,,"194,650",
,,,,,"Total","2,141,150",
"Enrichment planting around water bodies","Near Pussallanduwa Spring (7.105856, 80.933660)","Producing 100 seedlings (12\"x18”) 
(Kumbuk and Mee)","250","Seedlings","300","75,000",
,,"Transportation of seedlings 
(300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","3","Man days","2,500","7,500",
,,"Holing and planting 
(33 Man days)","17","Man days","2,500","41,250",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","250","Wooden boxes","250","62,500",
,,"Fertilizer 
 (110 gr / Seedling)","25","Kg","300","7,500",
,,"Applying fertilizer 
(9 Man days/ha)","5","Man Days","2,500","11,250",
,,"Vacancy Planting -Seedling cost (20%)","50","Seedlings","300","15,000",
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","4.0","Man days","2,500","10,000",
,,"Vacancy Planting
 (10%)- Seedling cost","50","Seedlings","300","15,000",
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","2","Man days","2,500","5,000",
,,"1st years 
3 maintenance, 12Man days, 3 times/year","18","Man days","2,500","45,000",
,,"2nd year 
2 maintenance (2 times /year) 10 Man days","10","Man days","2,500","25,000",
,,"3rd year 
2 maintenance (Once only) 8 Man days","10","Man days","2,500","25,000",
,,"4th year 
1 maintenance (Once only) 12 Man days","6","Man days","2,500","15,000",
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000",
,,,,,"Sub Total","375,000",
,,"Contingency",,,,"37,500",
,,,,,"Total","412,500",
"Enrichment planting","Galapitalanda Reserve (7.102786, 80.934230)","Surveying 
(1.5 Man days/ha)","8","Man days","2,500","20,000",
,,"Seedling production 500 seedling / ha (12\"x18\")","2,000","Seedlings","300","600,000",
,,"Transportation of seedlings to the site
 (300 Seedlings/ lorry load)","7","Lorry loads","7,500","52,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","25","Man days","2,500","62,500",
,,"Holing and planting 
(33 Man days /ha)","165","Man days","2,500","412,500",
,,"Fertilizer","200","Kg","300","60,000",
,,"Fertilizer application 
(9 Man days/ ha)","45","Man days","2,500","112,500",
,,"Vacancy Planting -Seedlings (20%)","400","Seedlings","300","120,000",
,,"Vacancy Planting - Holing & Planting
 (7 Man days)","35","Man days","2,500","87,500",
,,"Vacancy Planting (10%)
-Seedlings","200","Seedlings","300","60,000",
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","35","Man days","2,500","87,500",
,,"1st years 
3 maintenance, 16 Man days, 3 times/yea","240","Man days","2,500","600,000",
,,"2nd year 
2 maintenance
 (2 times /year) 
10 Man days","100","Man days","2,500","250,000",
,,"3rd year 
2 maintenance 
(Once only) 
10 Man days","100","Man days","2,500","250,000",
,,"4th year 
1 maintenance 
(Once only) 
10 Man days","50","Man days","2,500","125,000",
,,"Fuel (Supervision)","1","Lump sum","58,200","58,200",
,,,,,"Sub Total","2,958,200",
,,"Contingency (10%)",,,,"295,820",
,,,,,"Total","3,254,020",
"Enrichment planting","PolgahaWewa Reserve 
(7.11619, 80.9263)","Surveying
 (1.5 Man days/ha)","1","Man days","2,500","2,500",
,,"Seedling production 500 seedling / ha (12\"x18\")","100","Seedlings","300","30,000",
,,"Transportation of seedlings to the site 
(300 Seedlings/ lorry load)","1","Lorry loads","7,500","7,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","1","Man days","2,500","3,125",
,,"Holing and planting 
(33 Man days /ha)","8","Man days","2,500","20,625",
,,"Fertilizer","10","Kg","300","3,000",
,,"Fertilizer application 
(9 Man days/ ha)","2","Man days","2,500","5,625",
,,"Vacancy Planting -Seedlings (20%)","20","Seedlings","300","6,000",
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","2","Man days","2,500","4,375",
,,"Vacancy Planting (10%)- Seedlings","10","Seedlings","300","3,000",
,,"Vacancy Planting - Holing & Planting
 (7 Man days)","2","Man days","2,500","4,375",
,,"1st years 
3 maintenance, 16 Man days, 3 times/yea","12","Man days","2,500","30,000",
,,"2nd year 2 maintenance (2 times /year) 10 Man days","5","Man days","2,500","12,500",
,,"3rd year 2 maintenance (Once only) 
10 Man days","5","Man days","2,500","12,500",
,,"4th year 1 maintenance (Once only) 
10 Man days","3","Man days","2,500","6,250",
,,"Fuel (Supervision)","1","Lump sum","58,200","58,200",
,,,,,"Sub Total","209,575",
,,"Contingency (10%)",,,,"20,958",
,,,,,"Total","230,533",
"Planting 01 ha of Jack, and forest species etc","Iringu kotuwa Slope (7.101376, 80.919322)","Seedling Production (9\"x6\")","400","Seedlings","50","20,000",
,,"Transportation of seedlings to the site, (1,800 Seedlings / Lorry load)","1","Lorry loads","7,500","7,500",
,,"loading and unloading (1,800 plants/ Man day)","1","Man days","2,500","2,500",
,,"Seedling transportation within the field (1000/5 Man days)","1","Man days","2,500","2,500",
,,"Clearing the land and holing and planting (1000 plants/18Man days)","8","Man days","2,500","20,000",
,,"Fertilizer (100g /plant)","40","Kg","300","12,000",
,,"Applying fertilizer (5 Man days /1000 plants)","2","Man days","2,500","5,000",
,,"Vacancy Planting -Seedling cost (20%)","80","Seedlings","300","24,000",
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","40","Seedlings","300","12,000",
,,"Vacancy Planting - Holing & Planting (4 Man days)","4","Man days","2,500","10,000",
,,"1st years 
2 maintenance, (8 Man days/Maintenance)","16","Man days","2,500","40,000",
,,"2nd year 
2 maintenance,(8 Man days/Maintenance)","16","Man days","2,500","40,000",
,,"3rd year 
1maintenance, (6 Man days/Maintenance)","6","Man days","2,500","15,000",
,,"Fuel (Supervision)","1","Lump sum","10,000","10,000",
,,,,,"Sub Total","238,000",
,,"Contingency (10%)",,,,"23,800",
,,,,,"Total","261,800",
"Total",,,,,,"6,861,003",
