"Table 5.13: Estimate for rehabilitation of Karakaduwa Wewa in Udamadura North GND (518B)","",""
"Item","Description","Amount  LKR"
"1","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excluding of transport of materials)","95,880.00"
"2","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","96,120.00"
"3","Miscellaneous","3,000.00"
,"CIVIL COST","195,000.00"
,"Contingencies 10%","19,500.00"
,"TOTAL COST","214,500.00"
