"Table 5.5: Details of minor tanks available in MWS-037","","",""
"Name of Tank","Custodianship","Location details","Remarks"
"Aliya Eruna Wewa","DAD","7.09223N, 80.90777E","Desilt, Rehabilitate the bund construct a new CO spill"
"Pambe Wewa","DAD","7.09543N, 80.90917E","Desilt, Rehabilitate the bund construct a new CO spill"
"Dumkolahena Wewa","DAD","7.09012N, 80.90991E","Desilt, Rehabilitate the bund, including breached section, Construct a new CO spill"
"Paragahalanda Wewa","DAD","7.104932N,80.917511E","Replace the sluice gate, Construct a U/S toe wall"
"Karakaduwa Wewa","DAD","7.104176N, 80.917402E","Replace 225mm. CI sluice gate, Desilt"
"Linde Gedara Wewa","DAD","7.101336N, 80.923201E","14m long rectangular Section for spill"
"Wewe Pihilla Wewa","DAD","7.099737N, 80.918932E","No repairs"
"Papolpatha Wewa",,"7.098967N, 80.93572E","Rehabilitate the bund, construct a 1.5m long CO spill and sluice, Desilt"
"Polgaha Wewa",,"7.116515N, 80.928291E","Desilt, construct a curtain wall for US toe wall, repair the spill, Construct new 225m H/ wall sluice"
