"Table 2.3: Monthly average rainfall details of the MWS-035",""
"Month","Monthly Rainfall  mm"
"January","311"
"February","170"
"March","137"
"April","203"
"May","142"
"June","50"
"July","59"
"August","77"
"September","111"
"October","274"
"November","366"
"December","442"
"Annual","2342"
