"Table 5.9: Estimate for rehabilitation of Wewathenna Lake in Wewathenna GND (523B)","",""
"Item","Work Description","Amount  LKR"
"1","Construction of new CO spill","100,000.00"
"2","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","768,960.00"
"3","Miscellaneous","1,040.00"
,"CIVIL COST","870,000.00"
"4","Contingencies 10%","87,000.00"
,"TOTAL COST","957,000.00"
