"Table 5.33: Forest Plantation in the MWS-035","","","","",""
"Forest reserve","Total Extent","Peripheral length  Km","Gazette  No","Gazette date","Length of boundary demarcated with concreate posts  Km"
"Kimbulagala forest","226","10.4","-","-","10.4"
"Harasbedda-11 forest","100","10","-","-","405"
"Yatimadura forest","59.8","5.2","-","-","5.2"
