"Table 2.7: Occupational details of the community of MWS-035 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployed"
"518F","Demataarawa","6","10","67","1","230","1","0","0","4"
"518E","Thunhitiyawa","26","23","50","14","405","0","10","0","278"
"524C","Purankumbura","13","18","0","8","0","1","0","0","156"
"524B","Goradiyagolla","49","20","90","40","92","5","0","0","230"
"525B","Karandagolla","48","28","31","22","178","3","163","0","172"
"523B","Wewathenna","33","8","35","47","146","3","55","0","97"
"524A","Dambagolla","25","22","168","15","204","4","7","0","43"
"524D","Dabbare","27","24","133","0","300","3","283","0","419"
"524","Denambure","26","12","110","22","142","3","3","0","80"
"523A","Hegama","51","16","18","7","90","3","0","0","92"
"518D","Yatimadura","13","8","45","6","340","2","6","0","331"
"518A","Kosgolla","22","26","118","20","195","2","0","0","71"
"525C","Kotambe","27","36","60","7","91","0","24","0","99"
"525A","Udagama","11","16","71","53","157","2","53","0","264"
"525","Kumbukwela","3","9","37","2","0","0","0","51","56"
"523","Ambanella","30","15","80","8","120","6","0","0","446"
,"Total","410","291","1113","272","2690","38","604","51","2838"
