"Table 5.39: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
,,"Vacancy Planting (10% )- 
Seedling cost","20","Seedlings","300","6,000","2028"
,,"Vacancy Planting - Holing & Planting (4 Man days)","2","Man days","2,500","5,000",
,,"1st years
 3 maintenance, 12Man days, 3 times/year","24","Man days","2,500","60,000","2027"
,,"2nd year 
2 maintenance 
(2 times /year) 10 Man days","10","Man days","2,500","25,000","2028"
,,"3rd year
 2 maintenance (Once only) 10 Man day","10","Man days","2,500","25,000","2029"
,,"4th year
 1 maintenance (Once only) 10 Man days","5","Man days","2,500","12,500","2030"
,,"Fuel (Supervision)","1","Lump sum","80,00","80,000","2025-2030"
,,,,,"Sub Total","508,250",
,,"Contingency (10%)",,,,"50,825",
,,,,,"Total","559,075",
"Conversion of 01 ha Pinus into broad leaved species","Pahanthibukanda
(7.081968,80.900424)","Sample survey 
(2 MD)","1","Man days","2,500","5,000","2025"
,,"Enumeration
 (12 MD) Assuming 400 trees to be enumerated)","6","Man days","2,500","30,000",
,,"Seedling production (12”x18”) Need 400 Plants/ha)","200","Seedlings","300","120,000",
,,"Shade tree establishment 
(12 Man days/ha)","6","Man days","2,500","30,000",
,,"Seedlings for shade tree establishment (9”x6”) Need 800 Plants/ha)","400","Seedlings","45","36,000",
,,"Transportation of seedlings (12\"x18\")- 300 Seedling/Lorry load","1","15","10,000","20,000","2026"
,,"Transportation of seedlings (9\"x6\")- 2000/Lorry load","1","15","10,000","10,000",
,,"Purchasing of Compost 
(10 kg /plant)","6,000","Kg","10","120,000",
,,"Transportation of Compost 10,000kg/Lorry load","1","-","7,500","15,000",
,,"Clearing the land (12 MD/ha)","6","Man days","2,500","30,000",
,,"Head load transportation within the site 
(8 MD/ha)","4","Man days","2,500","20,000",
,,"Holing and planting 
(32 MD/ha)","16","Man days","2,500","80,000",
,,"Purchasing Fertilizer (no fertilizer for shade trees)","20","Kg","300","12,000",
,,"Applying fertilizer (4 MD/ha)","2","Man days","2,500","10,000",
,,"Vacancy Planting -Seedling cost (20%)","40","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting 
(7 Man days)","4","Man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","20","Seedlings","300","12,000","2028"
,,"Vacancy Planting - Holing & Planting 
(4 Man days)","2","Man days","2,500","10,000",
,,"1st years
 3 maintenance, 12Man days, 3 times/year","24","Man days","2,500","120,000","2027"
,,"2nd year 
2 maintenance 
(2 times /year) 10 Man days","10","Man days","2,500","50,000","2028"
,,"3rd year
 2 maintenance (Once only) 10 Man day","10","Man days","2,500","50,000","2029"
,,"4th year
 1 maintenance (Once only) 10 Man days","5","Man days","2,500","25,000","2030"
,,"Fuel (Supervision)","1","Lump sum","80,00","80,000","2025-2030"
,,,,,"Sub Total","926,500",
,,"Contingency (10%)",,,,"92,650",
,,,,,"Total","1,019,150",
"Enrichment planting (0.5 ha)","Near Mookalankele
(7.083340,80.906209)","Surveying (1.5 Man days/ha)","1","Man days","2,500","2,500","2026"
,,"Seedling production 500 seedling / ha (12\"x18\")","250","Seedlings","300","75,000",
