"Table 5.42: Total estimated cost of production for the five-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"524B","Goradiyagolla","0.2","0.5","0.2","0.5","0.2","0.5"
"524D","Dabbare","0.4","0.5","0.4","0.5","0.4","0.5"
"518D","Yatimadura",,"0.2",,"0.2",,"0.2"
"518A","Kosgolla",,"0.2",,"0.2",,"0.2"
"525C","Kotambe",,"0.2",,"0.2",,"0.2"
"523","Ambanella",,"0.4",,"0.4",,"0.4"
,"Total","0.6","2","0.6","2","0.6","2"
