"Table 5.12: Estimate for rehabilitation of Thanahena wewa in Ambanella GND (523)","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","400,500.00"
"2","Miscellaneous","4,500.00"
,"CIVIL COST","405,000.00"
"3","Contingencies 10%","40,500.00"
,"TOTAL COST","445,500.00"
