"Table 2.6: Age group categorization of the population of MWS-035 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70"
"518F","Demataarawa","31","66","114","233","108","24"
"518E","Thunhitiyawa","70","161","244","61","63","36"
"524C","Purankumbura","31","67","131","124","45","32"
"524B","Goradiyagolla","78","74","165","364","16","20"
"525B","Karandagolla","23","113","198","193","86","75"
"523B","Wewathenna","67","135","270","105","55","45"
"524A","Dambagolla","56","69","152","127","29","58"
"524D","Dabbare","107","160","202","253","34","18"
"524","Denambure","20","78","117","100","45","31"
"523A","Hegama","25","60","108","106","35","38"
"518D","Yatimadura","90","95","232","198","95","55"
"518A","Kosgolla","50","146","208","199","66","51"
"525C","Kotambe","56","109","233","149","36","26"
"525A","Udagama","26","76","161","86","55","38"
"525","Kumbukwela","24","51","103","71","37","17"
"523","Ambanella","43","110","246","160","61","30"
,"Total","797","1570","2884","2529","866","594"
