"Table 5.36: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"Vegetable","Capsicum","Kandeyaya - 2","2","40/perches unit - 20g. 3,000","6,000","100%","6,000"
,"Cabbage","Kandeyaya - 3","3","40/perches unit - 20g. 6,000","18,000","100%","18,000"
,"Green chili","Kandeyaya - 2","2","40/perches unit - 50g. 1,500","3,000","100%","3,000"
,"Tomato","Kandeyaya - 3","3","40/perches unit - 1500g. 4,500","13,500","100%","13,500"
"Fruits","Banana","Kandeyaya - 150","150","120","18,000","100%","18,000"
,"Avocado","Kandeyaya - 60","60","200","24,000","100%","24,000"
,"Passion fruits","Kandeyaya - 150","150","100","45,000","100%","45,000"
"Export Crops","Pepper","Kandeyaya - 400","400","30","12,000","100%","12,000"
,"Ginger","Kandeyaya - 200","200","130","26,000","100%","26,000"
,"Coffee","Kandeyaya - 250","250","30","7,500","100%","7,500"
"Livestock","No of cow","Kandeyaya - 3","3","250,000","750,000","100%","750,000"
,"No ofgoat","Kandeyaya - 10","10","40,000","400,000","50%","200,000"
,"No of chicks","Kandeyaya - 100","100","1,500","150,000","50%","75,000"
"Value added products","Incubator","Kandeyaya - 1","1","60,000","60,000","50%","30,000"
,"Bee keeping (Box 4000/= & 4000/= bees)","Kandeyaya - 10","10","8,000","80,000","50%","40,000"
,"Black Pepper making machines (Balancing kit)","Kandeyaya - 2","2","10,000","20,000","75%","15,000"
"Total Cost",,,,,"1,633,000",,"1,283,000"
