"Table 5.20: highlights the severity of degradation factors within key forest reserves.","","","",""
"Forest reserve","Rank value","NA","NA  1","NA  2"
,"Forest fires","Encroachments","Cutting for fire wood","Landslides"
"Paragahaarawa forest","1","4","3","2"
