"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-034-1 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","527C","Kandeyaya","1. Soil conservation practices - Hen farming/Hen Cultivation (40°-50°)","1","7.06177","80.94634","10 ha","Live fencing/SALT and or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Gardening (40°-50°)","5","7.058656","80.941808","6 ha","Live fencing/SALT and or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"4,000,000",,
