"Table 6.9: Summary of cost of rehabilitation of tanks located in MWS-024","","","","",""
"SI","Description","Unit","Qty","X Rate","X Amount  LKR"
"1","Desilting channels by PC 20 or 30 Excavator in a loose soil without pontoon cutting depth 300mm","m2","1500","174.00","261,000.00"
"2","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing (150-225) mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) - for Filling potholes and depressions","m3","50","1,272.00","63,600.00"
"3","Reconstruction of headwall type sluice","Item","Allow","Sum","500,000.00"
"4","Renovations to the spill and toe wall","Item","Allow","Sum","250,000.00"
"5","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","750","534.00","400,500.00"
"6","Miscellaneous","Item","Allow","Sum","4,900.00"
,"Total",,,,"1,480,000.00"
