"Table 3.7: Occupational details of the community of MWS-024 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"526A","Palalpathana","11","7","70","8","220","2","30","9","284"
"526B","Harasbedda North","9","4","62","30","142","6","71","0","222"
"526","Harasbedda South","14","0","65","7","0","1","0","26","30"
"526C","Morabedda","19","6","27","4","232","2","0","0","191"
,"Total","53","17","224","49","594","11","101","35","727"
