"Table 6.19: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Name of Irrigation System","N","E","Observation","Description","Amount"
"526C","Kande Ela","7.042738","80.883891","The total length of the canal is 3.5km, 1.0km section are concreted, Another 2.5km section should be concreted, Command area 250.0 acres","Canals reservation protection by concrete lining  for 100m and  125mm thick , 0.5m  wide  and 0.4m high canal -double banking.Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance.Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","2,820,000.00"
,,,,"Total",,"2,820,000.00"
