Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Bogahalanda-200, Hilpenkandura-1000, Udakanda-175, Udawatta East-1000, Udawatta West-1000",3375,80,"270,000.00",50%,"135,000.00"
,Electric fence,"Bogahalanda-8, Hilpenkandura-15, Udakanda-14, Udawatta East-15, Udawatta West-12 Welilada -12",76,"36,000.00","2,736,000.00",50%,"1,368,000.00"
,Cabbage,"Bogahalanda, Galauda North, Galauda South",perches 750,"40/perches unit - 20g. 6,000.00","112,500.00",100%,"112,500.00"
,Green chili,"Bogahalanda, Galauda North, Galauda South, Hilpenkandura, Udawatta West",Perches 635,"40/perches unit - 50g. 1,500.00","23,812.50",100%,"23,812.50"
,Tomato,"Bogahalanda, Galauda North, Galauda South, Udawatta wedt",Perches 460,"40/perches unit - 10g. 6,000.00","69,000.00",100%,"69,000.00"
Fruits,Banana,"Galauda North-150, Galauda south-200, Hilpenkandura-100, Udawatta East-300, Udawatta West-300",1050,120,"126,000.00",100%,"126,000.00"
,Avocado,"Galauda North-250 Hilpenkandura-50, Udawatta East-300, Udawatta West-300",900,200,"180,000.00",100%,"180,000.00"
,Mango,"Galauda North-50, Galauda south-200, Hilpenkandura-150, Udawatta East-100, Udawatta West-100",600,300,"180,000.00",100%,"180,000.00"
Export Crops,Coffee,"Bogahalanda -500 Galauda North-2000 Hilpenkandura-300, Udakanda-1000 Udawatta East-800 Udawatta West -800",5400,30,"162,000.00",100%,"162,000.00"
,Pepper,"Bogahalanda-1000 Galauda North-1000 Galauda south-1000 Hilpenkandura-350, Udakanda-1000, Udawatta East-200, Udawatta West-1000",5550,40,"222,000.00",100%,"222,000.00"
,Vanila,"Bogahalanda-500 Galauda North-100 Galauda south-500, Hilpenkandura-400, Udawatta East-400, Udawatta West-400",2300,40,"92,000.00",100%,"92,000.00"
,Clove,"Bogahalanda-400 Galauda North-400 Galauda south-400, Udawatta East-500, Udawatta West-500",2200,130,"286,000.00",100%,"286,000.00"
,Ginger,"Bogahalanda-400 Galauda North-400 Galauda south-600, Hilpenkandura-300, Udawatta East-500 Udawatta West-500",2700,18,"48,600.00",100%,"48,600.00"
Livestock,No of cow,Bogahalanda-5 Galauda North-5 Galauda South-3 Hilpenkandura-2 Udakanda-2 Udawatta East -2 Udawatta West-2 Welilada-2 ,23,"250,000.00","5,750,000.00",50%,"2,875,000.00"
,No of goat,Bogahalanda-10 Galauda North-1 Galauda South-5 ,16,"40,000.00","640,000.00",50%,"320,000.00"
,No of chicks,Bogahalanda-150 Galauda North-100 Galauda South-100 Hilpenkandura-80 Udakanda-60 Udawatta East -80 Udawatta West-80 Welilada-50 ,700,"1,500.00","1,050,000.00",50%,"525,000.00"
,Incubator,Bogahalanda-10 Galauda North-15 Galauda South-8 Udawatta East -5 Udawatta West-5 ,43,"60,000.00","2,580,000.00",50%,"1,290,000.00"
,No of sheds - cow,Bogahalanda-5 Galauda North-5 Galauda South-9 Hilpenkandura-2 Udakanda-4 Udawatta East -2 Udawatta West-2 Welilada-1 ,30,"300,000.00","9,000,000.00",50%,"4,500,000.00"
,No of sheds - goat,Bogahalanda-3 Galauda North-1 Galauda South-10 ,14,"150,000.00","2,100,000.00",50%,"1,050,000.00"
Protected Agriculture,Polytunnel,"Bogahalanda-2, Galauda North-2, Udawatta East -2 Udawatta West-2",8,"700,000.00","5,600,000.00",50%,"2,800,000.00"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),Bogahalanda-10 Galauda North-15 Galauda South-8 Udawatta East -5 Udawatta West-5 ,43,"8,000.00","344,000.00",75%,"258,000.00"
,Black Pepper making machines (Balancing kit),"Bogahalanda-2, Galauda South-5",7,"10,000.00","70,000.00",50%,"35,000.00"
,Curry powder grinding,"Bogahalanda-1, Galauda South-1 Hilpenkandura-1",5,"120,000.00","600,000.00",50%,"300,000.00"
,Jackfruit drying machines,Bogahalanda-1,1,"850,000.00","850,000.00",50%,"425,000.00"
Total Cost,,,,,"33,091,912.50",,"17,382,912.50"
