"Table 2.6: Age group categorization of the population of MWS-014 (GN-wise)","","","","","","","","","","","","","",""
"GND No","GND Name","X0 4","X5 9","X10 14","X15 19","X20 24","X25 29","X30 34","X35 39","X40 44","X45 49","X50 54","X55 59","Above 60 years"
"485A","Bogahalanda","42","45","60","72","54","59","55","63","48","61","53","50","111"
"489E","Galauda North","48","56","46","64","64","64","66","66","66","66","68","43","55"
"489","Galauda South","31","32","54","46","45","39","30","27","44","51","41","41","92"
"488A","Hakuruthale","18","14","16","9","10","17","14","18","13","19","14","7","42"
"488B","Hilpenkandura","23","31","35","22","27","28","42","38","25","23","29","27","82"
"489C","Udakanda","64","34","38","24","25","58","36","56","49","31","45","42","97"
"489A","Udawatta East","64","34","38","24","25","58","36","56","49","31","45","42","97"
"489D","Udawatta West","31","59","68","29","31","32","43","51","62","34","41","38","124"
"485B","Welikada","56","69","63","55","51","72","82","71","76","57","62","54","178"
,"Total","377","374","418","345","332","427","404","446","432","373","398","344","878"
