"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-014 belongs to Hanguranketha DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","485A","Bogahalanda","1. Renovation of natural drains - Matiwala minor stream 1","5","7.213649","80.788785","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Matiwala minor stream 2","4","7.213666","80.7888","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Unagolla minor stream","5","7.211026","80.787491","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Hunugale minor stream","5","7.21054","80.78725","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Minor stream near Gammadda well","1","7.21054","80.784255","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","75,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","605,000",,,,,,,,,,
"2","489E","Galauda North","1. Renovation of natural drains - Gama minor stream","3","7.175304","80.818218","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","100,000",,,,,,,,,,
"3","489","Galauda South","1. Renovation of natural drains - Gama minor stream","5","7.164725","80.819054","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Rambukgete minor stream","1","7.173954","80.814555","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Galbokka minor stream 1","4","7.175092","80.811844","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Galbokka minor stream 2","1","7.174908","80.811287","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","140,000",,,,,,,,,,
"4","488A","Hakuruthale","1. Renovation of natural drains - Bodhigolla minor stream 1","2","7.199153","80.793559","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Bodhigolla minor stream 2","5","7.19843","80.793674","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Hakuruthale minor stream","1","7.199192","80.800261","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
