Name,Work description,Location,Amount (LKR)
Mi Aththa Wewa,"1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna /Mango/Guava/randomly mixed seedlings at 500 mm grid intervals for 300 m2. & Apply mulching, organic manure, and NPK fertilizer.",Around Tanks periphery,"180,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. & Maintain for six months and continue watering for one year as required.",,"54,000"
,3. Supply and install 225mm dia. C.I.sluice and hoist to complete.,,122500
,4. Excavate silt material and form a berm below the bund using part of excavated materials,,"243,500"
Total,,,"600,000"
