Tank name,Ownership,N,E,Remarks
Bandiyawa Wewa,DAD,7.16407,80.81693,Good Condition Recommended to improve reservation & Desilting
Goda Iluk Wewa,DAD,7.168988,80.811382,"Recommended to reconstruct the sluice Up stream protection, improve reservation"
Mi Aththa Wewa,DAD,7.1949,80.8077,"Recommended sluice repair, improve earthen bund, improve reservation"
Bodhigolla Wewa,DAD,7.19791,80.79408,"Good Condition Recommended to improve reservation, capacity enhancement, US protection"
