"Table 2.5: GN-wise demographic details of the MWS-014","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"485A","Bogahalanda","207","256","400","373"
"489E","Galauda North","162","256","405","367"
"489","Galauda South","127","164","281","292"
"488A","Hakuruthale","56","71","105","106"
"488B","Hilpenkandura","108","146","212","220"
"489C","Udakanda","158","186","313","286"
"489A","Udawatta East","200","186","313","286"
"489D","Udawatta West","185","206","326","317"
"485B","Welikada","241","307","474","472"
,"Total","1444","1778","2829","2719"
