Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Galauda, Udawatta, Galbokka",6,"20,000","120,000",2025
Establish forest protection action groups (With fire protection items),"Galauda, Udawatta, Galbokka",6,"25,000","150,000",2025
Maintain forest boundaries,Diyathalakanda forest,8 km/ 160 boundary posts,200,"64,000",2025 and 2028
Erect display boards,"Galauda, Udawatta, Galbokka",6 Boards,"20,000","120,000",2025
Distribute energy efficient stows,"Galauda, Udawatta, Galbokka",150 units,500,"75,000",2025
Establish live fence with Hana,Diyathalakanda forest -Galauda,1 km,"125,000","125,000",2025
Maintenance of live fence with Hana,Diyathalakanda forest -Galauda,1km,"90,000","450,000",2026 - 2030
Home garden development,"Galauda, Udawatta, Galbokka",100 Home gardens,"2,000","200,000",2026
Total,,,,"1,304,000",
