No.,GN Division No.,GN Division,Non-point sources of pollution,N or X,E or Y,Point sources of pollution,Add.N or X,Add.E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",,Time frame for the implementation,
7,489A,Udawatta East,Improper discard of waste (Soap & shampoo packets) near the major spring,7.183205,80.80333,,,,"Preparing a separate bins/place for disposing waste
Awareness programme on how to dispose household waste properly and converting them to usable products 
Facilitating garbage collection",,"200000
50000",,Local/Central governments,,0.5 Years
8,489D,Udawatta West,Addition of agrochemicals to water paths - Wahalagama,7.182483,80.799124,,,,Awareness programmes on how to use agrochamicals and dispose containers properly after use,,"50,000.00",,Local/Central governments,,0.5 Years
9,485B,Welikada,Addition of agrochemicals to water paths - The cultivated Fields on both sides of the Badaulu road,7.221348,80.78891,,,,Awareness programmes on how to use agrochamicals and dispose containers properly after use,,"50,000.00",,Local/Central governments,,0.5 Years
