"Table 5.8: Details of Bandiyawa Wewa related improvement cost in MWS-014","","",""
"Name","Work description","Location","Amount  LKR"
"Bandiyawa Wewa","1. Dense planting of mixed vegetation comprising Agave/ Kumbuk/ Mee/ Madan/ Nelli/ Durian/ Mandarin/ Orange/ Avocado/ Guava/ Mango/ Aththikka/ Wal del/ Kekuna etc randomly mixed seedlings at 500 mm grid intervals for 1500 m2. & Apply mulching, organic manure, and NPK fertilizer.
2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2and a row of Areca nut trees.
3. Maintain for six months and continue watering for one year as required. 
4.Desilt about 1500cum using PC 30 excavator and tractor trailers","Around Tanks periphery","961,200




97,200


36,000

684000"
"Contingencies (10%)","177,840",,
"Total","1,956,240",,
