Tank name,Land ownership,Location details,Tentative Estimate (LKR)
Bandiyawa wewa ,DAD,"7.16407 E, 80.81693 N","1,452,000.00"
Goda Iluk wewa,DAD,"7.168988 E, 80.811382 N","1,188,000.00"
Mee aththa wewa,DAD,"7.1949 E, 80.8077 N","600,000.00"
Bodhigolla wewa,DAD,"7.19791 E, 80.79408 N","1, 176,000.00"
Total,DAD,"7.1949 E, 80.8077 N","4,416,000.00"
