"Table 5.10: Details of reservation improvement for Mi Aththa Wewa  in MWS-014","","",""
"Name","Work description","Location","Amount  LKR"
"Mi Aththa Wewa","1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna /Mango/Guava/randomly mixed seedlings at 500 mm grid intervals for 300 m2. & Apply mulching, organic manure, and NPK fertilizer.
2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. & Maintain for six months and continue watering for one year as required.
3. Supply and install 225mm dia. C.I.sluice and hoist to complete.
4. Excavate silt material and form a berm below the bund using part of excavated materials","Around Tanks periphery","216,000




64,800



147000



292,200"
"Contingencies (10%)","72,000",,
"Total","792,000",,
