Name,Work description,Location,Amount (LKR)
Goda Iluk Wewa,"1. Dense planting of mixed vegetation comprising Agave/Kumbuk/Mee/ Godapara / Madan /Aththikka/Wal del/Kekuna /Mango/ Guava/ Durian/ Avocado/Nutmeg/randomly mixed seedlings at 500 mm grid intervals for 2000 m2. &. Apply mulching, organic manure, and NPK fertilizer.",Around Tanks periphery,"1,068,000"
,"2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. ",,"54,000"
,"3. Plant two lines of Areca nut trees beside the reserve and cultivate pepper an area of around 200 m2.
Maintain for six months and continue watering for one year as required.",,"94,000"
,4.Supply and install 225mm dia. C.I.sluice and hoist to complete.,,"122,500"
,5.Supply lay and fill GI gabion boxes with selected rubble. (1mx1mx60m long),,"549,500"
Total,,,"1,888,000"
