"Table 5.39: Proposed interventions MWS-014","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Galauda, Udawatta, Galbokka","6","35,000","210,000","2025"
"Establish forest protection action groups","Galauda, Udawatta, Galbokka","6","35,000","210,000","2025"
"Maintain forest boundaries","Diyathalakanda forest
(8 km)","320 boundary posts","900","288,000","2026"
"Erect display boards","Galauda, Udawatta, Galbokka","6 Boards","38,500","120,000","2025"
"Distribute energy efficient stows","Galauda, Udawatta, Galbokka","150 units","1,100","165,000","2025"
"Establish live fence with Hana & maintenance","Diyathalakanda forest -Galauda","1 km","383,900","383,900","2025 -2026"
"Home garden development","Galauda, Udawatta, Galbokka","100 Home gardens","2,000","200,000","2026"
"Enrichment Planting","Meti Hakka reservation","8 ha","645,521","5,164,168","2026-2030"
"Enrichment Planting","Kooraketiya reservation","0.5","772,090","386,045","2026-2030"
"Total",,,,"7,127,113",
