"Table 5.16: Details related to water pollution in MWS-032 belongs to the Nildandahinna DS Division","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","528F","Mathatilla","Potential to add human waste - Mathatilla Village",,,"2",,,,,,,,
,,,"Improper disposal of houshold wastes",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,,,
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","528B","Palugama","Potential to add human waste - Palugama",,,"20",,,,,,,,
"3","531","Ambaliyadda","No special issues reported",,,,,,,,,,,
"4","531A","Embulampaha","No special issues reported",,,,,,,,,,,
"5","528","Roopaha","Potential to add human waste - Mathatilla Village",,,"2",,,,,,,,
,,,"Improper disposal of houshold wastes",,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Introduce waste collecting methods and converting them into productive output with the mediation of Local Governments.",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","528 E","Roopaha East","No special issues reported",,,,,,,,,,,
"7","528A","Pallewela","Potential to add human waste - Mathatilla Village",,,"2",,,,,,,,
"Grand Total","100,000",,,,,,,,,,,,,
