"Table 5.28: Forest reserves and their protection status in MWS-032","","","","",""
"Forest reserve","Total Extent","Peripheral length  Km","Gazette  No","Gazette date","Length of boundary demarcated with concrete posts  Km"
"Kimbulagala forest","226","10.4","-","-","10.4"
"Algithenna forest","39.53","10.5","-","-","10.5"
"Rupaha forest","18.2","2.1","-","-","-"
