"Table 5.8: Estimate for rehabilitation of Udahena tank","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","76,896.00"
"2","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excluding of transport of materials)","95,880.00"
"3","Repairs to the sluice","50,000.00"
"4","Miscellaneous","2,224.00"
,"CIVIL COST","225,000.00"
"5","Contingencies 10%","22,500.00"
,"TOTAL COST","247,500.00"
