"Table 5.7: Estimate for rehabilitation of  Pussalamada tank Pussalamada tank","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","3,844,800.00"
"2","Improvements to the existing bund","27,000.00"
"3","Construction of Sluice","350,000.00"
"4","Construction of Spill","200,000.00"
"5","Miscellaneous","3,200.00"
,"CIVIL COST","4,425,000.00"
,"Contingency (10%)","442,500.00"
,"Total","4,867,500.00"
