"Table 2.3: Monthly average rainfall details of the MWS-032",""
"Month","Monthly Rainfall  mm"
"January","286"
"February","160"
"March","139"
"April","212"
"May","156"
"June","60"
"July","67"
"August","84"
"September","124"
"October","286"
"November","360"
"December","420"
"Annual","2355"
