"Table 5.5: Details of minor tanks available in MWS-032","","",""
"Name of Tank","Custodianship","Location details","Remarks"
"Pussellamada Tank","DAD","7.02705 N, 80.90914 E","Rehabilitation of the tank"
"Galkada Tank","Private","7.02695 N, 80.91332 E","This proposal is on a private land. Hence, not recommended"
"Udahena Tank","DAD","7.04371 N, 80.90803E","Rehabilitation of the tank"
