"Table 2.6: Age group categorization of the population of MWS-032 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70"
"528F","Mathetilla","52","34","64","250","157","61"
"528B","Palugama","74","139","224","195","40","42"
"531","Ambaliyadda","28","110","146","164","52","61"
"531A","Embulampaha","74","72","145","78","61","79"
"528","Roopaha","25","66","117","112","50","32"
"528E","Roopaha East","22","37","68","75","24","38"
"528A","Pallewela","62","110","119","209","25","15"
,"Total","337","568","883","1083","409","328"
