"Table 6.42: Total estimated cost of production for the three-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"513E","Mailagasthenna","1","1.5","1","1.5","1","2"
"514","Kumbalgamuwa","1.5","2","1","1.5","1","1"
"513","Pannala","2","1.5","1","1.5","1","1"
"514E","Deliwala North","1","1","1","1","2","2"
"513C","Wewakele","1","1.5","1.5","2","1.5","1"
"513A","Serupitiya","1","1.5","1","2","1","1.5"
"513D","Ihala Pannala","1","1","1.5","1","0.5","2"
,"Total","8.5","10","8","10.5","8","10.5"
