"Table 3.7: Occupational details of the community of MWS-029 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"513E","Mailagasthenna","6","14","52","35","60","4","24","0","165"
"514","Kumbalgamuwa","25","8","525","15","175","30","80","467","263"
"513","Pannala","84","26","126","34","166","8","19","0","278"
"514E","Deliwala North","33","29","110","12","128","4","43","0","156"
"513C","Wewakele","52","20","75","16","43","4","3","0","61"
"513A","Serupitiya","16","16","141","8","780","3","0","0","128"
"513D","Ihala Pannala","7","14","80","6","90","5","12","0","25"
,"Total","223","127","1109","126","1442","58","181","467","1076"
