"Table 6.2: Details of Reported landslides in MWS-029","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","513","Pannala","No special issues reported",,,,
"2","513 A","Serupitiya","Flooding - Near the culvert at the Serupitiya Perahera Mawatha",,,,"The bringde needs renovation"
"3","513C","Wewakele","Landslide - Dooniyagolla Upper section","7.124717","80.845411","NBRO is aware","Actions recommended by NBRO should be conducted"
"4","513D","Ihala Pannala","Landslide - Near Kovil","7.129844","80.849366","NBRO is aware","Actions recommended by NBRO should be conducted"
"5","514E","Deliwala North","No special issues reported",,,,
"6","514","Kumbalgamuwa","Sinking - Mahawewa","7.11054","80.85174","NBRO is aware","Actions recommended by NBRO should be conducted"
,,,"Landsliding - Riti Ella","7.11258","80.85061","Needs NBRO concern","Providing alternative lands and soil conservation practices should be adapted"
"7","513 E","Mailagasthanna","No special issues reported",,,,
