"Table 6.1: Key activities proposed for soil and water conservation in MWS-029","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","513","Pannala","1. Renovation of natural drains - Pannal Oya",,,"7.162121","80.849775","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"350,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Mahagama Kandura",,,"7.14185","80.855757","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Pannala (50˚ - 60˚)",,,"7.142414","80.855774","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Pannala (50˚ - 60˚)",,,"7.139395","80.851002","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","4,970,000.00",,,,,,,,,,,,
"2","513 A","Serupitiya","1. Renovation of natural drains - Serupitiya Ela",,"Off","7.14833","80.842592","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Belihul Oya",,"Off","7.166151","80.843012","3 km","Clearing and planting some trees along the banks and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Siyambalakumbura Agala",,"Off","7.14471","80.852210","1.5 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Serupitiyagama  (50˚ - 60˚)",,"On","7.145571","80.851182","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","7,500,000.00","Labour and other basic services by the Local community","1.5 Years"
