"Table 3.7: Occupational details of the community of MWS-025 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","Unemployment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker",
"505","Napatawela","28","14","72","15","97","4","38","0","50"
"505E","Wetekegama","45","20","57","4","118","0","7","0","261"
"505B","Ambagaspitiya","7","24","0","11","0","4","0","0","157"
"507B","Yatiwella","30","21","55","18","110","1","8","0","16"
"505A","Padiyapelella","36","6","74","46","295","3","5","0","242"
"506A","Unagolla","20","18","200","5","380","10","4","0","296"
"504","Wetakepatha","42","21","198","51","226","7","20","0","127"
"506","Munwatta","11","17","58","22","320","7","2","0","129"
"505D","Landupita","16","33","50","22","56","8","21","0","82"
"505C","Galabada","12","26","117","22","393","4","0","0","70"
"507","Ukuthule","31","16","105","5","235","2","7","0","91"
"507A","Ukuthule East","5","13","112","5","473","10","45","60","94"
,"Total","283","229","1098","226","2703","60","157","60","1615"
