"Table 6.11: Implementation schedule of four tanks in MWS-025","","",""
"Item","X Desilting tank bed","Location","Amount  LKR"
"1","Desilting of tank beds including removing water weeds and appropriate disposal of material 0.5km DS from the tank (D4 + Loader + Dumper truck) -0.30m thickness over 100% of the water spread area","Tank bund","303,960.00"
"2","Re construction of Sluice","Tank bund","750,000.00"
"3","Soil Conservation","Reservation",
,"Vegetative cover improving with Areca nut seedling 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"133,500.00"
"4","Miscellaneous",,"12,540.00"
,"Total",,"1,200,000.00"
