"Table 3.5: GN-wise demographic details of the MWS-025","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"505","Napatawela","126","158","216","231"
"505E","Wetekegama","100","125","195","165"
"505B","Ambagaspitiya","171","212","331","341"
"507B","Yatiwella","124","150","219","234"
"505A","Padiyapelella","172","161","278","308"
"506A","Unagolla","230","243","440","400"
"504","Wetakepatha","185","248","362","360"
"506","Munwatta","188","224","340","328"
"505D","Landupita","146","173","299","263"
"505C","Galabada","281","232","418","428"
"507","Ukuthule","182","200","333","308"
"507A","Ukuthule East","279","304","491","462"
,"Total","2184","2430","3922","3828"
