"Table 5.27: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items.Needed","GNDs.Requested","Number","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution.....from.line.agency..GoSL","Final.cost.to.LA..GoSL..LKR."
"Paddy yaya development program","Supply of parachute Trays","","5000","80","400000","75%","300000"
"","Supply of certified seed paddy (bu)","","10","4200","42000","100%","42000"
"","Soil testing","","10","290","2900","100%","2900"
"","Supply of Bio films (1 Liter) Bottles
","","10","900","9000","100%","9000"
" ","supply of Cruiser as seed Treatments
","","10","900","9000","100%","9000"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence","","30","7500","225000","75%","168750"
"","Supply of Electric fence","","15","40000","600000","75%","450000"
"","Supply of Water Pumps (Robin)","","5","70000","350000","75%","262500"
"","Supply of Brush Cutters","","10","30000","300000","75%","225000"
"","Supply of Knapsac Sprayers (16L)","","5","30000","300000","75%","225000"
"Improvement of Cultivation Practices of Tomato (12 Farmers with 1/4 ac)","Soil testing","","12","290","3480","100%","3480"
"","supply of Plant covers (0.8\"x200m","","15","15000","225000","100%","225000"
"","Supply of Trichoderma (1-liter bottles)","","24","1000","24000","100%","24000"
"","Supply of Seedling trays with 72 holes","","120","150","18000","100%","18000"
"","Supply of organic Pesticides","","12","500","6000","100%","18000"
"","Supply of plastic Crates (Medium size)","","60","4000","240000","75%","180000"
"","Pheromone Traps for Tuta","","12","900","10800","100%","10800"
"","yellow bulb system","","1","90000","90000","75%","67500"
"Improvement of Cultivation Practices of Bean (6 Farmers with 1/4 ac)","Supply seeds of Black Cora","","20","4000","80000","100%","80000"
"","supply of Cruiser as seed Treatments (5g Packs)","","30","900","27000","100%","27000"
"","Supply of Rhizobium Inoculum 100g packs ","","30","400","12000","100%","12000"
"","Supply of Insect Proof nets (3mx50m)","","10","30000","300000","75%","225000"
"","Supply of Bio films (500ml) bottles","","12","1250","15000","100%","15000"
"","Supply of Trichoderma (1-liter bottles)","","6","1000","6000","100%","6000"
"","Supply of Lakgrow neem 100ml bottles","","12","1000","12000","100%","12000"
"Development of Agriculture Entrepreneurship
","Constructions of 1000 sq feets Poly tunnels","","2","700000","1400000","75%","1050000"
"Export Crops","Coffee"," Neelawela 1000
Udamailapitiya south- 800
Unuwinna east 1200","3000","30","90,000","100%","90,000"
" ","Pepper"," Neelawela 300
Udamailapitiya south-400
Unuwinna east 300","1000","40","40,000","100%","40,000"
" ","Ginger","Neelawela 200
Udamailapitiya south-200
Unuwinna east 20","600","18","10,800","100%","10,800"
"Livestock","No of cow","Udamailapitiya south-10, kahabiliyawa-6, neelawala-3","19","250,000.00","4,750,000","50%","2,375,000"
" ","No of goat","Udamailapitiya south-15, kahabiliyawa-10, neelawala-1","26","40,000.00","1,040,000","50%","520,000"
" ","No of chicks","Pothgoda-25, udamailapitiya south-150, kahabiliyawa-100, unuwinna west-50, neelawala-100","425","1,500.00","637,500","50%","318,750"
" ","No of sheds - cow","Udamailapitiya south-30, kahabikiyawa-20, unuwinna west-3, unuwinna east-3, neelawala-10","66","300,000.00","19,800,000","50%","9,900,000"
" ","No of sheds - goat","Udamailapitiya south-20, kahabiliyawa-10, neelawala-1","31","150,000.00","4,650,000","50%","2,325,000"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)"," Kahambiliyawa 10
Munuwinna East 5","15","8,000.00","120,000","75%","90,000"
" ","Black Pepper making machines (Balancing kit)","Kahabiliyawa-1","1","10,000.00","10,000","50%","5,000"
" ","White pepper production machines","Kahabiliyawa-1","1","55,000.00","55,000","50%","27,500"
" ","Curry powder grinding","Pothgoda-1, kahabiliyawa-1, unuwinna east-2, neelawala-2 ","6","120,000.00","720,000","50%","360,000"
" ","Jackfruit drying machines","Kahabiliyawa-1, neelawala-1","2","850,000.00","1,700,000","50%","850,000"
"Total Cost"," "," "," "," "," "," ","20,993,480"
"","","","","","","",""
