"Table 2.7: Occupational details of the community of MWS-008-1 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"1005","Pathamailapitiya North","3","31","7","85","35","26","17","22","21","58","45","169","7","12"
"1019","Pothgoda",,,"4","27","4","5","4","13","8","23",,"80",,"40"
"1020","Neelawala","3","11","5","17","7","5","2","15","11","3","5","120",,
"1021","Kahambiliyawa",,"2","5","36","5","6","4","60","13","15","130","300",,
"1003","Udamailapitiya South","2","38","7","31","27","23","5","70","65","6","391","270","31","75"
"1024","Unuvinna East","8","7","35","10","1","8","4","12","4","38","24","145","4","1"
"1025","Unuvinna West","12","10","5","15","6","7","3","15","7","49","16","115",,
,"Total","28","99","68","221","85","80","39","207","129","192","611","1199","42","128"
