"Table 5.7: Details of Millapokuna Wewa Reservation improvement cost in MWS-008-1","","","",""
"Name","Work.description","Qty","Rate","Amount..LKR."
"Millapokuna Wewa","1. Dense planting of mixed vegetation comprising. Kumbuk/Mee/Madan/Nelli /Guava/Mango/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals for 300 m2. 
2. Apply mulching, organic manure, and NPK fertilizer.
3. Introduction of Bamboo, Vetiver grass, of Areca nut trees and riparian plants. Covered area 100 m2 each 
4. Labour for maintaining reforestation and erecting Sabo dams using available boulders.
5.Excavate and remove sediment deposits and earth of tank bed. (DAD J05A+J06A) Estimated qty 1800 m3
6.Transport of backhoe J10A","


6



2x50m2

1x100m2

80 days



1800 m3

1 way","

","







1,830,000"
"","Contingencies (10%)","","","183,000"
"Total","","","LKR","2,013,000"
