"Table 5.1: Distribution of soil erosion hazard classes in MWS-018-2","","",""
"Category","Critical Range","Area  ha","Area"
"Very low","0-5 t ha-1 y-1","133.6","36.4%"
"Low","5-10 t ha-1 y-1","15.6","4.2%"
"Moderate","10-20 t ha-1 y-1","23.4","6.4%"
"High","20-50 t ha-1 y-1","61.0","16.6%"
"Very high",">50 t ha-1 y-1","133.1","36.3%"
