,GN Division,Extent (ha) ,,,,,
,,2025,,2026,,2027,
,,RP,DP,RP,DP,RP,DP
501 F,Rookwood Estate,0.5,1,0.5,1,0.5,1
,Total,0.5,1,0.5,1,0.5,1
