"Table 6.40: Recommended training programs for Livelihood development and marketing","","","","",""
"Training   Livelihood and Marketing","Target group","No of programs","Unit cost","Total Cost  Rs","Agency"
"Livestock productivity improvement methods","Farmers","1","40,000","40,000","DAPH"
"Total",,,,"40,000",
