Year,Extent (ha),,,Cost (Rs.),,Community contribution,Project contribution
,RP,DP,RP,DP,Total,,Total
2025,0.5,1,"315,000","500,000","815,000", Labour and equipment cost borne by the TSH,"815,000"
2026,0.5,1,"315,000","500,000","815,000",,"815,000"
2027,0.5,1,"315,000","500,000","815,000",,"815,000"
,,,,Total,,,"2,445,000"
